wineID,name,description,winary,country,points,price,variety
100001,Nicosia 2013 Vulkà Bianco (Etna),"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",Nicosia,Italy,87,,White Blend
100002,Quinta dos Avidagos 2011 Avidagos Red (Douro),"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's already drinkable, although it will certainly be better from 2016.",Quinta dos Avidagos,Portugal,87,15,Portuguese Red
100003,Rainstorm 2013 Pinot Gris (Willamette Valley),"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",Rainstorm,US,87,14,Pinot Gris
100004,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",St. Julian,US,87,13,Riesling
100005,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",Sweet Cheeks,US,87,65,Pinot Noir
100006,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Tandem,Spain,87,15,Tempranillo-Merlot
100007,Terre di Giurfo 2013 Belsito Frappato (Vittoria),"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Terre di Giurfo,Italy,87,16,Frappato
100008,Trimbach 2012 Gewurztraminer (Alsace),"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",Trimbach,France,87,24,Gewürztraminer
100009,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Heinz Eifel,Germany,87,12,Gewürztraminer
100010,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,Jean-Baptiste Adam,France,87,27,Pinot Gris
100011,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",Kirkland Signature,US,87,19,Cabernet Sauvignon
100012,Leon Beyer 2012 Gewurztraminer (Alsace),"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",Leon Beyer,France,87,30,Gewürztraminer
100013,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",Louis M. Martini,US,87,34,Cabernet Sauvignon
100014,Masseria Setteporte 2012 Rosso (Etna),"This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",Masseria Setteporte,Italy,87,,Nerello Mascalese
100015,Mirassou 2012 Chardonnay (Central Coast),"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",Mirassou,US,87,12,Chardonnay
100016,Richard Böcking 2013 Devon Riesling (Mosel),"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",Richard Böcking,Germany,87,24,Riesling
100017,Felix Lavaque 2010 Felix Malbec (Cafayate),"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",Felix Lavaque,Argentina,87,30,Malbec
100018,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",Gaucho Andino,Argentina,87,13,Malbec
100019,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza (Ribera del Duero),"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Pradorey,Spain,87,28,Tempranillo Blend
100020,Quiévremont 2012 Meritage (Virginia),"Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",Quiévremont,US,87,32,Meritage
100021,Quiévremont 2012 Vin de Maison Red (Virginia),"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",Quiévremont,US,87,23,Red Blend
100022,Acrobat 2013 Pinot Noir (Oregon),"A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",Acrobat,US,87,20,Pinot Noir
100023,Baglio di Pianetto 2007 Ficiligno White (Sicilia),"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",Baglio di Pianetto,Italy,87,19,White Blend
100024,Bianchi 2011 Signature Selection Merlot (Paso Robles),"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",Bianchi,US,87,22,Merlot
100025,Canicattì 2009 Aynat Nero d'Avola (Sicilia),"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",Canicattì,Italy,87,35,Nero d'Avola
100026,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",Castello di Amorosa,US,87,69,Pinot Noir
100027,Stemmari 2013 Dalila White (Terre Siciliane),"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",Stemmari,Italy,87,13,White Blend
100028,Stemmari 2013 Nero d'Avola (Terre Siciliane),"Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",Stemmari,Italy,87,10,Nero d'Avola
100029,Terre di Giurfo 2011 Mascaria Barricato (Cerasuolo di Vittoria),"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",Terre di Giurfo,Italy,87,17,Red Blend
100030,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",Clarksburg Wine Company,US,86,16,Chenin Blanc
100031,Domaine de la Madone 2012 Nouveau (Beaujolais-Villages),"Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",Domaine de la Madone,France,86,,Gamay
100032,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",Duca di Salaparuta,Italy,86,,Red Blend
100033,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),"Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",Duca di Salaparuta,Italy,86,,White Blend
100034,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",Envolve,US,86,50,Red Blend
100035,Envolve 2011 Sauvignon Blanc (Sonoma Valley),"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",Envolve,US,86,20,Sauvignon Blanc
100036,Erath 2010 Hyland Pinot Noir (McMinnville),"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",Erath,US,86,50,Pinot Noir
100037,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",Estampa,Chile,86,15,Viognier-Chardonnay
100038,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",Feudi del Pisciotto,Italy,86,21,Cabernet Sauvignon
100039,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",Feudi di San Marzano,Italy,86,11,Primitivo
100040,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",Feudo di Santa Tresa,Italy,86,12,Nero d'Avola
100041,Feudo Montoni 2011 Catarratto (Sicilia),"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",Feudo Montoni,Italy,86,17,Catarratto
100042,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",Hawkins Cellars,US,86,22,Pinot Noir
100043,Henry Fessy 2012 Nouveau (Beaujolais),"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",Henry Fessy,France,86,9,Gamay
100044,Robert Hall 2011 Sauvignon Blanc (Paso Robles),"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",Robert Hall,US,86,14,Sauvignon Blanc
100045,Sundance 2011 Merlot (Maule Valley),"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",Sundance,Chile,86,9,Merlot
100046,Tarara 2010 #SocialSecret Red (Virginia),"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",Tarara,US,86,40,Red Blend
100047,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",Tasca d'Almerita,Italy,86,13,Inzolia
100048,The White Knight 2011 Riesling (Lake County),"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",The White Knight,US,86,13,Riesling
100049,Trump 2011 Sauvignon Blanc (Monticello),"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",Trump,US,86,16,Sauvignon Blanc
100050,Vignerons de Bel Air 2011 Eté Indien (Brouilly),"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",Vignerons de Bel Air,France,86,14,Gamay
100051,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",Viticultori Associati Canicatti,Italy,86,,Red Blend
100052,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",Casa Silva,Chile,85,22,Petit Verdot
100053,Cantine di Dolianova 2010 Dolia (Monica di Sardegna),"The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",Cantine di Dolianova,Italy,85,14,Monica
100054,Château de Sours 2011 La Fleur d'Amélie (Bordeaux Blanc),"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",Château de Sours,France,85,15,Bordeaux-style White Blend
100055,Corvo 2010 Rosso Red (Sicilia),"A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.",Corvo,Italy,85,,Red Blend
100056,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",RustRidge,US,85,30,Chardonnay
100057,Souverain 2010 Chardonnay (North Coast),"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",Souverain,US,85,14,Chardonnay
100058,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),"There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.",Tasca d'Almerita,Italy,85,13,Grillo
