shopID,wineID,wineName,shopName,shopAddress
200001,100001,Nicosia 2013 Vulkà Bianco (Etna),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200002,100002,Quinta dos Avidagos 2011 Avidagos Red (Douro),Liquor Land,"32 E Green St, Champaign, IL 61820"
200003,100003,Rainstorm 2013 Pinot Gris (Willamette Valley),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200004,100004,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200005,100005,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200006,100006,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200007,100007,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200008,100008,Trimbach 2012 Gewurztraminer (Alsace),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200009,100009,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200010,100010,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200011,100011,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200012,100012,Leon Beyer 2012 Gewurztraminer (Alsace),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200013,100013,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200014,100014,Masseria Setteporte 2012 Rosso (Etna),Liquor Land,"32 E Green St, Champaign, IL 61820"
200015,100015,Mirassou 2012 Chardonnay (Central Coast),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200016,100016,Richard Böcking 2013 Devon Riesling (Mosel),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200017,100017,Felix Lavaque 2010 Felix Malbec (Cafayate),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200018,100018,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200019,100019,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza (Ribera del Duero),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200020,100020,Quiévremont 2012 Meritage (Virginia),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200021,100021,Quiévremont 2012 Vin de Maison Red (Virginia),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200022,100022,Acrobat 2013 Pinot Noir (Oregon),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200023,100023,Baglio di Pianetto 2007 Ficiligno White (Sicilia),Liquor Land,"32 E Green St, Champaign, IL 61820"
200024,100024,Bianchi 2011 Signature Selection Merlot (Paso Robles),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200025,100025,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200026,100026,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200027,100027,Stemmari 2013 Dalila White (Terre Siciliane),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200028,100028,Stemmari 2013 Nero d'Avola (Terre Siciliane),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200029,100029,Terre di Giurfo 2011 Mascaria Barricato (Cerasuolo di Vittoria),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200030,100030,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200031,100031,Domaine de la Madone 2012 Nouveau (Beaujolais-Villages),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200032,100032,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Liquor Land,"32 E Green St, Champaign, IL 61820"
200033,100033,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),Liquor Land,"32 E Green St, Champaign, IL 61820"
200034,100034,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200035,100035,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200036,100036,Erath 2010 Hyland Pinot Noir (McMinnville),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200037,100037,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200038,100038,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200039,100039,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200040,100040,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200041,100041,Feudo Montoni 2011 Catarratto (Sicilia),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200042,100042,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200043,100043,Henry Fessy 2012 Nouveau (Beaujolais),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200044,100044,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200045,100045,Sundance 2011 Merlot (Maule Valley),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200046,100046,Tarara 2010 #SocialSecret Red (Virginia),Liquor Land,"32 E Green St, Champaign, IL 61820"
200047,100047,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200048,100048,The White Knight 2011 Riesling (Lake County),Liquor Land,"32 E Green St, Champaign, IL 61820"
200049,100049,Trump 2011 Sauvignon Blanc (Monticello),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200050,100050,Vignerons de Bel Air 2011 Eté Indien (Brouilly),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
